panel_index,item_id,split,negative_bucket,begin_s,end_s,duration_s,source_audio,model_assisted_review_label,model_assisted_confidence,visual_notes,recommended_training_use,human_review_label,human_review_confidence,human_review_notes,reviewer,reviewed_at,use_as_reviewed_background
11,ICLISTENHF6016_20250120T060000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T060000.000Z.flac,unlabeled_signal_suspect,medium,Distinct bright localized feature in upper/mid band; plausible missed signal or acoustic event.,exclude_from_clean_background_gate,,,,,,
12,ICLISTENHF6016_20250105T014000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T014000.000Z.flac,candidate_clean_background,medium,Relatively diffuse noise texture; no clear whale-like contour visible at this scale.,candidate_for_human_confirmed_reviewed_background,,,,,,
13,ICLISTENHF6016_20250105T043000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T043000.000Z.flac,needs_human_review,low,Diffuse but has localized bright low-frequency patching; keep in review queue.,exclude_from_clean_background_gate_until_reviewed,,,,,,
14,ICLISTENHF6016_20250120T210000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T210000.000Z.flac,candidate_clean_background,medium,Mostly diffuse low-frequency background without an obvious localized event.,candidate_for_human_confirmed_reviewed_background,,,,,,
15,ICLISTENHF6016_20250105T023000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T023000.000Z.flac,candidate_clean_background,medium,Only a weak small patch; no clear primary-species call shape in contact-sheet view.,candidate_for_human_confirmed_reviewed_background,,,,,,
16,ICLISTENHF6016_20250105T090000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T090000.000Z.flac,needs_human_review,low,Stronger low-frequency banding/texture than the cleaner candidates; uncertain.,exclude_from_clean_background_gate_until_reviewed,,,,,,
17,ICLISTENHF6016_20250125T070000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250125T070000.000Z.flac,candidate_clean_background,medium,Diffuse noise and weak banding only; no obvious call-like contour.,candidate_for_human_confirmed_reviewed_background,,,,,,
18,ICLISTENHF6016_20250105T032000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T032000.000Z.flac,unlabeled_signal_suspect,medium,Compact bright mid-band blob; plausible missed acoustic event.,exclude_from_clean_background_gate,,,,,,
19,ICLISTENHF6016_20250110T070000.000Z_gap_0000_15.5s_25.5s,val,primary_adjacent_gap,15.500000,25.500000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250110T070000.000Z.flac,unlabeled_signal_suspect,medium,Distinct bright high/mid-frequency event near the top of the panel.,exclude_from_clean_background_gate,,,,,,
20,ICLISTENHF6016_20250215T130000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250215T130000.000Z.flac,needs_human_review,low,Weak localized horizontal/tonal feature; ambiguous.,exclude_from_clean_background_gate_until_reviewed,,,,,,
21,ICLISTENHF6016_20250105T040000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T040000.000Z.flac,unlabeled_signal_suspect,medium,Bright compact feature with vertical/tonal continuation; suspect event.,exclude_from_clean_background_gate,,,,,,
22,ICLISTENHF6016_20250120T190000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T190000.000Z.flac,candidate_clean_background,medium,Diffuse background texture; no obvious primary-call contour at contact-sheet scale.,candidate_for_human_confirmed_reviewed_background,,,,,,
23,ICLISTENHF6016_20250405T030000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250405T030000.000Z.flac,candidate_clean_background,medium,Mostly diffuse; no clear localized signal-like feature.,candidate_for_human_confirmed_reviewed_background,,,,,,
24,ICLISTENHF6016_20250105T045000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T045000.000Z.flac,unlabeled_signal_suspect,medium,Localized bright mid-band blob/short contour; suspect acoustic event.,exclude_from_clean_background_gate,,,,,,
25,ICLISTENHF6016_20250125T090000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250125T090000.000Z.flac,unlabeled_signal_suspect,medium,Clear horizontal/tonal feature around mid-low band; not clean background.,exclude_from_clean_background_gate,,,,,,
26,ICLISTENHF6016_20250505T160000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250505T160000.000Z.flac,candidate_clean_background,medium,Diffuse low-frequency noise floor with no obvious localized whale-like contour.,candidate_for_human_confirmed_reviewed_background,,,,,,
27,ICLISTENHF6016_20250105T050000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T050000.000Z.flac,needs_human_review,low,Bright horizontal feature in the panel; ambiguous without closer context.,exclude_from_clean_background_gate_until_reviewed,,,,,,
28,ICLISTENHF6016_20250205T190000.000Z_gap_0000_15.2s_25.2s,val,primary_adjacent_gap,15.200000,25.200000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250205T190000.000Z.flac,unlabeled_signal_suspect,medium,Localized high-energy region and structured texture; suspect event.,exclude_from_clean_background_gate,,,,,,
29,ICLISTENHF6016_20250505T200000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250505T200000.000Z.flac,unlabeled_signal_suspect,medium,Multiple mid-band localized features/short contours; suspect event.,exclude_from_clean_background_gate,,,,,,
30,ICLISTENHF6016_20250105T051000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T051000.000Z.flac,candidate_clean_background,medium,Diffuse texture with no obvious localized call-like feature.,candidate_for_human_confirmed_reviewed_background,,,,,,
31,ICLISTENHF6016_20250505T180000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250505T180000.000Z.flac,candidate_clean_background,medium,Mostly diffuse background; no clear event shape visible.,candidate_for_human_confirmed_reviewed_background,,,,,,
32,ICLISTENHF6016_20250705T110000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250705T110000.000Z.flac,unlabeled_signal_suspect,medium,Strong horizontal/tonal bands and structured energy; not clean background.,exclude_from_clean_background_gate,,,,,,
